abide,respecter,37
about,sur,403
above,au dessus,147
abroad,à l'étranger,63
absence,absence,55
abuse,abuser de,46
according,selon,45
account,Compte,45
accuse,accuser,38
acquainted,connaissance,39
action,action,114
advantage,avantage,72
advice,Conseil,43
affairs,affaires,67
affection,affection,73
affections,affections,40
afraid,peur,41
after,après,405
afterwards,ensuite,38
again,encore,768
alive,vivant,90
almost,presque,161
alone,seul,236
along,le long de,112
already,déjà,147
although,bien que,79
always,toujours,62
ambition,ambition,45
ancient,ancien,78
angel,ange,52
anger,colère,54
another,un autre,430
answer,répondre,380
anything,n'importe quoi,105
apparel,vêtements,40
appear,apparaître,129
appears,apparaît,50
approach,approche,72
argument,argument,67
ariel,Ariel,91
armour,armure,41
aside,de côté,465
asleep,endormi,60
assure,assurer,50
athens,Athènes,72
attend,assister,116
attended,assisté,45
authority,autorité,55
avoid,éviter,38
awake,éveillé,77
awhile,quelque temps,102
banish,bannir,37
barren,Dénudé,40
bassianus,bassianus,45
bastard,Connard,206
battle,bataille,112
beard,barbe,95
bearing,palier,70
bears,ours,106
beast,la bête,71
beaten,battu,46
beauty,beauté,201
because,car,187
become,devenir,141
bedford,Bedford,48
before,avant,835
beggar,mendiant,60
begin,commencer,113
behalf,nom,45
behind,derrière,118
behold,voir,158
being,étant,662
believe,croyez,233
belike,être comme,42
below,au dessous de,54
benefit,avantage,39
besides,outre,108
betray,trahir,37
better,mieux,594
between,entre,236
beyond,au-delà,59
birth,naissance,86
bishop,évêque,43
bitter,amer,74
black,noir,160
blame,faire des reproches,82
bless,bénir,105
blessing,bénédiction,46
blest,heureux,53
blind,aveugle,80
blood,du sang,639
blows,coups,71
blunt,cru,67
blush,rougir,50
bodies,corps,44
bones,des os,75
borne,supporté,79
bottom,bas,103
bought,acheté,50
bound,lié,175
bounty,prime,40
brain,cerveau,79
brains,cerveaux,45
brave,courageux,160
breast,Sein,97
breath,souffle,207
breed,race,49
brief,bref,91
bright,brillant,68
bring,apporter,444
broke,cassé,85
brook,ruisseau,77
brother,frère,557
brought,apporté,196
brows,sourcils,44
burden,fardeau,46
buried,enterré,57
burning,brûlant,45
business,Entreprise,232
cannot,ne peux pas,762
capitol,Capitole,43
captain,capitaine,170
cardinal,cardinal,144
cares,se soucie,36
carry,porter,87
castle,Château,104
catch,capture,69
cause,cause,337
cease,cesser,47
certain,certain,176
chain,chaîne,64
chair,chaise,39
challenge,défi,48
chamber,chambre,113
chance,chance,104
change,changement,155
charge,charge,200
charity,charité,54
chaste,chaste,38
cheek,joue,74
cheer,acclamation,73
chide,gronder,49
chief,chef,108
child,enfant,232
choice,choix,69
church,église,63
cinna,cinna,40
citizen,citoyenne,186
civil,civil,49
claim,prétendre,62
clarence,clarté,210
claud,claud,124
claudio,Claudio,174
clear,clair,59
clifford,Clifford,134
close,proche,103
cloten,cailloter,104
clothes,vêtements,40
clouds,des nuages,59
clown,pitre,350
college,Université,226
colour,Couleur,73
comes,vient,616
comfort,confort,186
coming,venir,154
cominius,cominius,104
command,commander,171
commanded,commandé,40
commend,saluer,90
commercial,commercial,221
commission,commission,47
commit,commettre,39
common,commun,151
companion,un compagnon,37
company,entreprise,205
complete,Achevée,246
complexion,complexion,40
condition,état,57
conduct,conduite,48
confess,avouer,126
conscience,conscience,122
consent,consentement,94
consider,considérer,49
constable,gendarme,85
constant,constant,48
contempt,mépris,46
content,contenu,157
contrary,contraire,47
copies,copies,446
copyright,droits d'auteur,228
could,pourrait,623
council,conseil,49
counsel,Conseil,130
count,compter,107
counterfeit,contrefaire,52
countess,comtesse,121
country,pays,138
courage,courage,67
course,cours,157
court,tribunal,255
courtesy,courtoisie,64
cousin,cousin,258
coward,lâche,85
crave,demander,42
creature,créature,67
credit,crédit,51
cromwell,Cromwell,44
cross,traverser,63
crown,couronne,257
cruel,cruel,70
cunning,ruse,75
cupid,Cupidon,40
curse,malédiction,99
custom,Douane,43
dagger,dague,42
damned,damné,44
dance,Danse,71
danger,danger,99
darkness,obscurité,39
daughter,fille,410
deadly,mortel,49
dearest,très cher,55
dearly,chèrement,42
death,décès,858
deeds,actes,118
defend,défendre,66
degree,diplôme,47
delight,délice,56
deliver,livrer,100
demand,demande,60
denied,refusé,55
depart,partir,65
desert,désert,44
deserve,mériter,65
desire,le désir,218
despair,désespoir,54
desperate,désespéré,49
despite,malgré,52
device,dispositif,42
devil,diable,217
devise,concevoir,48
didst,didst,183
dinner,dîner,87
discourse,discours,59
discover,découvrir,35
disgrace,disgrâce,48
dishonour,déshonorer,39
dispatch,envoi,72
displeasure,mécontentement,40
disposition,disposition,44
distributed,distribué,443
divine,Divin,49
doctor,docteur,109
doing,Faire,69
dolabella,Dolabella,39
doors,des portes,62
double,double,80
doubt,doute,172
download,Télécharger,221
dramatis,dramatis,36
drawn,tiré,85
dread,crainte,47
dreadful,horrible,59
dream,rêver,119
dreams,rêves,45
drink,boisson,154
drops,gouttes,52
drown,noyer,43
drums,tambours,41
drunk,ivre,68
duncan,Duncan,37
durst,durst,51
dwell,habiter,39
dying,en train de mourir,46
early,de bonne heure,50
earth,Terre,300
edmund,Edmund,71
effect,effet,72
egypt,Egypte,46
either,Soit,166
elbow,coude,49
elder,aîné,40
embrace,embrasse,68
emilia,Émilie,149
emperor,empereur,91
empty,vide,50
encounter,rencontre,52
endure,supporter,76
enemies,ennemis,111
enemy,ennemi,157
enjoy,prendre plaisir,47
enobarbus,énobarbus,154
enough,assez,311
enter,entrer,2098
entertain,divertir,39
entertainment,divertissement,37
entreat,supplier,111
equal,égal,44
estate,biens,48
eternal,éternel,38
every,chaque,491
everything,tout,42
excellent,excellent,119
except,sauf,38
excuse,excuse,78
execution,exécution,48
exeter,Exeter,98
exeunt,sortir,1035
express,Express,36
faces,visages,53
